virus_group	AC	AG	AT	CA	CG	CT	GA	GC	GT	TA	TC	TG	Baltimore_group	genome_type	n_segments	total_mutations	number_tips	segments
African_swine_fever_virus_Mkuzi_1979	0.04205440537	0.1099649666	0.06012755315	0.05289300626	0.04879988503	0.1896597122	0.1907597707	0.04776090987	0.0488963847	0.06266141732	0.1066801308	0.03974185795	I	dsDNA	1	35621	577	African_swine_fever_virus_Mkuzi_1979
Aleutian_mink_disease_virus	0.05030989894	0.1036838585	0.03597800238	0.1011353897	0.05910509786	0.1486071032	0.2847523312	0.04519014051	0.02395621907	0.04095922687	0.08548633064	0.02083640112	II	ssDNA	1	6550	274	Aleutian_mink_disease_virus
Avian_leukosis_virus_RSA	0.05431176916	0.1639510391	0.06584331091	0.04915335507	0.04032532462	0.1363750948	0.1417116412	0.03429984502	0.04110986279	0.06006295523	0.159572777	0.05328302503	VI	ssRNA-RT	1	51454	318	Avian_leukosis_virus_RSA
Avian_orthoavulavirus_1_JSD0812	0.02561977132	0.1584911953	0.02429813726	0.03809229252	0.01366059738	0.2399480783	0.2050927587	0.01084769772	0.02028957567	0.02357700978	0.2229620289	0.01712085706	V	(-)ssRNA	1	162674	1752	Avian_orthoavulavirus_1_JSD0812
Avian_orthoreovirus_AVS_B	0.03630174275	0.1670168475	0.02331672687	0.02757600767	0.01060364499	0.2510739718	0.1574140208	0.01353021047	0.02645382975	0.02067443658	0.2403957142	0.0256428466	III	dsRNA	9	76225	2623	Avian_orthoreovirus_AVS_B_L1, Avian_orthoreovirus_AVS_B_L2, Avian_orthoreovirus_AVS_B_L3, Avian_orthoreovirus_AVS_B_M1, Avian_orthoreovirus_AVS_B_M2, Avian_orthoreovirus_AVS_B_M3, Avian_orthoreovirus_AVS_B_S2, Avian_orthoreovirus_AVS_B_S3, Avian_orthoreovirus_AVS_B_S4
Beak_and_feather_disease_virus	0.05156620965	0.09039373114	0.0505471146	0.04923371385	0.0792891787	0.1867255388	0.08117671314	0.04877754922	0.08074758514	0.06224027177	0.1460583173	0.07324407672	II	ssDNA	1	11414	583	Beak_and_feather_disease_virus
Betacoronavirus_England_1	0.01639667076	0.06618950181	0.01929020089	0.03859980557	0.008716085129	0.429422837	0.09831239729	0.02427652755	0.1090181951	0.01525607337	0.1523663888	0.02215531674	IV	(+)ssRNA	1	7397	797	Betacoronavirus_England_1
Betapolyomavirus_hominis	0.04157421731	0.1125743417	0.05102290307	0.06670447554	0.06425660487	0.1372847463	0.2187751178	0.08487320953	0.04985271045	0.04928112115	0.0973667434	0.02643380892	I	dsDNA	1	5854	1458	Betapolyomavirus_hominis
Bluetongue_virus	0.01244792671	0.1929192585	0.01919733905	0.0153256271	0.008719905346	0.2786647511	0.2074853398	0.007491574858	0.01215279465	0.02512866042	0.2098084099	0.01065841266	III	dsRNA	9	69450	8987	Bluetongue_virus_10, Bluetongue_virus_1, Bluetongue_virus_3, Bluetongue_virus_4, Bluetongue_virus_5, Bluetongue_virus_6, Bluetongue_virus_7, Bluetongue_virus_8, Bluetongue_virus_9
Bovine_leukemia_virus	0.02856811724	0.2574340453	0.02535821643	0.0137851109	0.004029493956	0.1556657139	0.2482294378	0.01201110183	0.009675609806	0.017749806	0.2002769777	0.0272163692	VI	ssRNA-RT	1	3426	644	Bovine_leukemia_virus
Bovine_viral_diarrhea_virus_1	0.02061793763	0.1652327024	0.03454192288	0.04537369562	0.01320147165	0.2371626848	0.1827725421	0.01100212298	0.01959245052	0.04039719513	0.2178705718	0.01223470251	IV	(+)ssRNA	1	106059	422	Bovine_viral_diarrhea_virus_1
Canine_parvovirus	0.03071651088	0.153130841	0.03150700932	0.03757486799	0.04539245798	0.1485342097	0.2317525208	0.0326094255	0.03548069567	0.04721342271	0.1755296574	0.03055838096	II	ssDNA	1	6036	973	Canine_parvovirus
Capillovirus_mali	0.03011357037	0.1673524649	0.03231038001	0.04138778814	0.01693327779	0.2682853069	0.1837236627	0.01433233419	0.01905357369	0.03020819846	0.1806299496	0.01566949332	IV	(+)ssRNA	1	31933	182	Capillovirus_mali
Cardamom_bushy_dwarf_virus	0.04133837232	0.03981841715	0.09947585864	0.06699589758	0.04428665101	0.2100343304	0.08727034347	0.03783791619	0.09703774098	0.1130059491	0.1105335421	0.05236498101	II	ssDNA	6	4584	962	Cardamom_bushy_dwarf_virus_DNA_U3, Cardamom_bushy_dwarf_virus_M, Cardamom_bushy_dwarf_virus_NC_038808_1, Cardamom_bushy_dwarf_virus_NC_038809_1, Cardamom_bushy_dwarf_virus_NC_038810_1, Cardamom_bushy_dwarf_virus_NC_038816_1
Chicken_anemia_virus	0.05057300134	0.1561552322	0.05163769611	0.06018411644	0.06191264198	0.07841220392	0.1861027208	0.07111897737	0.03870420537	0.05689019028	0.143591834	0.04471718014	II	ssDNA	1	5554	673	Chicken_anemia_virus
