virus_group	enveloped	host
African_swine_fever_virus_Mkuzi_1979	yes	mammal
Aleutian_mink_disease_virus	no	mammal
Avian_leukosis_virus_RSA	yes	bird
Avian_orthoavulavirus_1_JSD0812	yes	bird
Avian_orthoreovirus_AVS_B	no	bird
Beak_and_feather_disease_virus	no	bird
Betacoronavirus_England_1	yes	mammal
Betapolyomavirus_hominis	no	mammal
Bluetongue_virus	no	mammal
Bovine_leukemia_virus	yes	mammal
Bovine_viral_diarrhea_virus_1	yes	mammal
Canine_parvovirus	no	mammal
Capillovirus_mali	no	plant
Cardamom_bushy_dwarf_virus	no	plant
Chicken_anemia_virus	no	bird
Chikungunya_virus	yes	mammal
Citrus_tristeza_virus	no	plant
Classical_swine_fever_virus_Alfort_187	yes	mammal
Columbid_circovirus	no	bird
Eastern_equine_encephalitis_virus	yes	mammal
Enterovirus_B	no	mammal
Enterovirus_C	no	mammal
Epizootic_hemorrhagic_disease_virus_serotype_1_strain_New_Jersey	no	mammal
Equid_alphaherpesvirus_1	yes	mammal
Equine_arteritis_virus	yes	mammal
Feline_calicivirus_NC_075569_1	no	mammal
Feline_infectious_peritonitis_virus	yes	mammal
Foot_and_mouth_disease_virus_O	no	mammal
Foveavirus_mali	no	plant
GB_virus_C	yes	mammal
Gallid_alphaherpesvirus_1_Composite_of_6_strains	yes	bird
Gallid_alphaherpesvirus_2	yes	bird
Grapevine_Pinot_gris_virus	no	plant
Grapevine_leafroll_associated_virus_3	no	plant
Grapevine_rupestris_stem_pitting_associated_virus	no	plant
Hepatitis_B_virus	yes	mammal
Hepatitis_C_virus_genotype_1	yes	mammal
Hepatitis_C_virus_genotype_3	yes	mammal
Hepatitis_C_virus_genotype_6	yes	mammal
Hepatitis_E_virus	no	mammal
Hepatitis_delta_virus_NC_001653_2	yes	mammal
Hepatovirus_A	no	mammal
Hop_stunt_viroid	no	plant
Human_T_cell_leukemia_virus_type_I	yes	mammal
Human_adenovirus_1	no	mammal
Human_alphaherpesvirus_1	yes	mammal
Human_alphaherpesvirus_2	yes	mammal
Human_alphaherpesvirus_3	yes	mammal
Human_betaherpesvirus_5	yes	mammal
Human_bocavirus_3	no	mammal
Human_coronavirus_229E	yes	mammal
Human_coronavirus_NL63	yes	mammal
Human_coronavirus_OC43	yes	mammal
Human_gammaherpesvirus_4	yes	mammal
Human_gammaherpesvirus_8	yes	mammal
Human_immunodeficiency_virus_1	yes	mammal
Human_immunodeficiency_virus_2	yes	mammal
Human_mastadenovirus_B_Human_adenovirus_11	no	mammal
Human_mastadenovirus_D_Human_adenovirus_type_17	no	mammal
Human_mastadenovirus_E	no	mammal
Human_mastadenovirus_F	no	mammal
Human_metapneumovirus	yes	mammal
Human_orthopneumovirus_B1	yes	mammal
Human_papillomavirus_16	no	mammal
Human_papillomavirus_type_53	no	mammal
Human_papillomavirus_type_6b	no	mammal
Human_parvovirus_B19	no	mammal
Human_respirovirus_1	yes	mammal
Human_respirovirus_3_Guangzhou	yes	mammal
Human_rhinovirus_NAT001	no	mammal
Infectious_bronchitis_virus_Ind_TN92_03	yes	bird
Infectious_bursal_disease_virus_1977_from_Schobries_et_al_1977	no	bird
Infectious_pancreatic_necrosis_virus	no	fish
Influenza_A_virus_A_Hong_Kong_1073_99_H9N2	yes	bird
Influenza_A_virus_A_Korea_426_1968_H2N2	yes	mammal
Influenza_A_virus_A_New_York_392_2004_H3N2	yes	mammal
Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1	yes	mammal
Influenza_A_virus_A_Shanghai_02_2013_H7N9	yes	bird
Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1	yes	bird
Influenza_B_virus_B_Lee_1940	yes	mammal
Influenza_C_virus_C_Ann_Arbor_1_50	yes	mammal
Influenza_D_virus_D_swine_Oklahoma_1334_2011	yes	mammal
Isavirus_salaris	yes	fish
JC_polyomavirus	no	mammal
Japanese_encephalitis_virus	yes	mammal
Lelystad_virus	yes	mammal
Lumpy_skin_disease_virus_NI_2490	yes	mammal
Lyssavirus_rabies	yes	mammal
Maize_streak_virus_A_South_Africa	no	plant
Mamastrovirus_1	no	mammal
Mammalian_orthoreovirus_3	no	mammal
Mammarenavirus_lassaense	yes	mammal
Measles_morbillivirus	yes	mammal
Mogiana_tick_virus	yes	mammal
Monkeypox_virus_IIb	yes	mammal
Mumps_orthorubulavirus	yes	mammal
Norovirus_GII_17	no	mammal
Norovirus_GII_Hu_JP_2007_GII_P15_GII_15_Sapporo_HK299	no	mammal
Norovirus_GI_Hu_BD_2011_GI_7_PNA2_Dhaka1882	no	mammal
Norovirus_GI_Hu_JP_1998_GI_6_PNA4_No20_Saitama_98_17	no	mammal
Norovirus_GV	no	mammal
Orbivirus_alphaequi	no	mammal
Oropouche_virus	yes	mammal
Orthohantavirus_hantanense	yes	mammal
